id,uri,lemma,pos,morpho,principal_parts,prosody,validated
83,α01452,ἄβλεπτος,a,aps---cn2-,ἄβλεπτος ἄβλεπτος ἄβλεπτον,ἄβλεπτος,0
129,α01497,ἁβροβόστρυχος,a,aps---cn2-,ἁβροβόστρυχος ἁβροβόστρυχος ἁβροβόστρυχον,ἁβροβόστρυχος,0
133,α01501,ἁβροδίαιτος,a,aps---cn2-,ἁβροδίαιτος ἁβροδίαιτος ἁβροδίαιτον,ἁβροδίαιτος,0
153,α01521,ἁβρότιμος,a,aps---cn2-,ἁβρότιμος ἁβρότιμος ἁβρότιμον,ἁβρότιμος,0
182,α01548,ἀβυρτακώδης,a,aps---cn3s,ἀβυρτακώδης ἀβυρτακώδης ἀβυρτακώ͂δες,ἀβυρτακώδης,0
195,α01562,ἀγαθείκελος,a,aps---cn2-,ἀγαθείκελος ἀγαθείκελος ἀγαθείκελον,ἀγαθείκελος,0
231,α01598,ἀγαθωσύνη,n,n-s---fn1e,ἀγαθωσύνης,ἀγαθωσύνη,0
234,α01660,ἀγαῖος,a,aps---mn1-,ἀγαῖος ἀγαῖα ἀγαῖον,ἀγαῖος,0
236,α01601,ἀγακλειτός,a,aps---mn1-,ἀγακλειτός ἀγακλειτή ἀγακλειτόν,ἀγακλειτός,0
284,α01648,ἀγανακτικός,a,aps---mn1-,ἀγανακτικός ἀγανακτική ἀγανακτικόν,ἀγανακτικός,0
301,α01667,ἀγάπησις,n,n-s---fn3v,ἀγαπησέως,ἀγάπησις,0
310,α01676,ἀγάρροος,a,aps---cn2-,ἀγάρροος ἀγάρροος ἀγάρροον,ἀγάρροος,0
336,α01714,ἀγγεῖον,n,n-s---nn2-,ἀγγείου,ἀγγεῖον,0
338,α01703,ἀγγειώδης,a,aps---cn3s,ἀγγειώδης ἀγγειώδης ἀγγειώ͂δες,ἀγγειώδης,0
362,α01730,ἀγείσωτος,a,aps---cn2-,ἀγείσωτος ἀγείσωτος ἀγείσωτον,ἀγείσωτος,0
387,α01755,ἀγελήτης,n,n-s---mn1e,ἀγελήτου,ἀγελήτης,0
388,α01756,ἀγελητρόφος,n,n-s---mn2-,ἀγελητρόφου,ἀγελητρόφος,0
396,α01764,ἀγενεαλόγητος,a,aps---cn2-,ἀγενεαλόγητος ἀγενεαλόγητος ἀγενεαλόγητον,ἀγενεαλόγητος,0
426,α01793,ἀγεωμέτρητος,a,aps---cn2-,ἀγεωμέτρητος ἀγεωμέτρητος ἀγεωμέτρητον,ἀγεωμέτρητος,0
441,α01808,ἀγήνωρ,a,aps---mn5r,,ἀγήνωρ,0
443,α01810,ἀγήραντος,a,aps---cn2-,ἀγήραντος ἀγήραντος ἀγήραντον,ἀγήραντος,0
462,α01827,ἀγίγαρτος,a,aps---cn2-,ἀγίγαρτος ἀγίγαρτος ἀγίγαρτον,ἀγίγαρτος,0
495,α01860,ἀγκιστρεύω,v,----------,,ἀγκιστρεύω,0
498,α01863,ἀγκιστροειδής,a,aps---cn5s,ἀγκιστροειδής ἀγκιστροειδής ἀγκιστροειδές,ἀγκιστροειδής,0
530,α01895,ἀγκυλόκυκλος,a,aps---cn2-,ἀγκυλόκυκλος ἀγκυλόκυκλος ἀγκυλόκυκλον,ἀγκυλόκυκλος,0
544,α01909,ἄγκυρα,n,n-s---fn1s,ἄγκυρας,ἄγκυρα,0
550,α01915,ἀγκυροβολέω,v,----------,,ἀγκυροβολέω,0
565,α01930,ἀγκωνοειδής,a,aps---cn5s,ἀγκωνοειδής ἀγκωνοειδής ἀγκωνοειδές,ἀγκωνοειδής,0
592,α01957,ἀγλαοτρίαινα,n,----------,,ἀγλαοτρίαινα,0
622,α01987,ἁγνευτικός,a,aps---mn1-,ἁγνευτικός ἁγνευτική ἁγνευτικόν,ἁγνευτικός,0
643,α02008,ἀγνοητός,a,aps---mn1-,ἀγνοητός ἀγνοητή ἀγνοητόν,ἀγνοητός,0
56,α01425,ἀβελτέρειος,a,aps---mn1-,ἀβελτέρειος ἀβελτέρεια ἀβελτέρειον,ἀβελτέρειος,0
5310,α05944,ἀμφίβολος,a,aps---cn2-,ἀμφίβολος ἀμφίβολος ἀμφίβολον,ἀμφίβολος,0
82,α01451,ἀβλέπτημα,n,----------,,ἀβλέπτημα,0
698,α02063,ἀγοραστής,n,n-s---mn1e,ἀγοραστού,ἀγοραστής,0
5324,α05959,ἀμφίγλωσσος,a,aps---cn2-,ἀμφίγλωσσος ἀμφίγλωσσος ἀμφίγλωσσον,ἀμφίγλωσσος,0
713,α02076,ἀγορητύς,n,n-s---fn3v,ἀγορητύος,ἀγορητύς,0
751,α02115,ἀγρευτήρ,n,n-s---mn3r,ἀγρευτῆρος,ἀγρευτήρ,0
770,α02135,ἀγριέλαιος,a,aps---cn2-,ἀγριέλαιος ἀγριέλαιος ἀγριέλαιον,ἀγριέλαιος,0
803,α02168,ἀγριοποιός,a,aps---cn2-,ἀγριοποιός ἀγριοποιός ἀγριοποιόν,ἀγριοποιός,0
842,α02205,ἀγροικόσοφος,a,aps---cn2-,ἀγροικόσοφος ἀγροικόσοφος ἀγροικόσοφον,ἀγροικόσοφος,0
853,α02216,ἀγρονόμος,a,aps---cn2-,ἀγρονόμος ἀγρονόμος ἀγρονόμον,ἀγρονόμος,0
901,α02262,ἀγυρτικός,a,aps---mn1-,ἀγυρτικός ἀγυρτική ἀγυρτικόν,ἀγυρτικός,0
907,α02268,ἄγχαυρος,a,aps---cn2-,ἄγχαυρος ἄγχαυρος ἄγχαυρον,ἄγχαυρος,0
912,α02273,ἀγχίαλος,a,aps---cn2-,ἀγχίαλος ἀγχίαλος ἀγχίαλον,ἀγχίαλος,0
945,α02306,ἀγχίσπορος,a,aps---cn2-,ἀγχίσπορος ἀγχίσπορος ἀγχίσπορον,ἀγχίσπορος,0
953,α02314,ἀγχιστίνδην,r,----------,,ἀγχιστίνδην,0
962,α02323,ἀγχίφυτος,a,aps---cn2-,ἀγχίφυτος ἀγχίφυτος ἀγχίφυτον,ἀγχίφυτος,0
985,α02348,ἀγωγαῖος,a,aps---cn2-,ἀγωγαῖος ἀγωγαῖος ἀγωγαῖον,ἀγωγαῖος,0
1006,α02369,ἀγωνιστέον,a,----------,,ἀγωνιστέον,0
1053,α02415,ἀδάπανος,a,aps---cn2-,ἀδάπανος ἀδάπανος ἀδάπανον,ἀδάπανος,0
1069,α02432,ἀδειγμάτιστος,a,aps---cn2-,ἀδειγμάτιστος ἀδειγμάτιστος ἀδειγμάτιστον,ἀδειγμάτιστος,0
1098,α02460,ἀδελφοδότης,n,n-s---mn1e,ἀδελφοδότου,ἀδελφοδότης,0
1105,α02467,ἀδελφοποιός,a,aps---cn2-,ἀδελφοποιός ἀδελφοποιός ἀδελφοποιόν,ἀδελφοποιός,0
1111,α02475,ἀδενοειδής,a,aps---cn5s,ἀδενοειδής ἀδενοειδής ἀδενοειδές,ἀδενοειδής,0
1136,α02500,ἀδηλόφλεβος,a,aps---cn2-,ἀδηλόφλεβος ἀδηλόφλεβος ἀδηλόφλεβον,ἀδηλόφλεβος,0
1154,α02518,ἀδηφάγος,a,aps---cn2-,ἀδηφάγος ἀδηφάγος ἀδηφάγον,ἀδηφάγος,0
1163,α02527,ἀδιάγνωστος,a,aps---cn2-,ἀδιάγνωστος ἀδιάγνωστος ἀδιάγνωστον,ἀδιάγνωστος,0
1189,α02553,ἀδιαμέριστος,a,aps---cn2-,ἀδιαμέριστος ἀδιαμέριστος ἀδιαμέριστον,ἀδιαμέριστος,0
1195,α02559,ἀδιάξεστος,a,aps---cn2-,ἀδιάξεστος ἀδιάξεστος ἀδιάξεστον,ἀδιάξεστος,0
1204,α02568,ἀδιαπόρευτος,a,aps---cn2-,ἀδιαπόρευτος ἀδιαπόρευτος ἀδιαπόρευτον,ἀδιαπόρευτος,0
1235,α02599,ἀδιατύπωτος,a,aps---cn2-,ἀδιατύπωτος ἀδιατύπωτος ἀδιατύπωτον,ἀδιατύπωτος,0
1240,α02604,ἀδιαφορητικός,a,aps---mn1-,ἀδιαφορητικός ἀδιαφορητική ἀδιαφορητικόν,ἀδιαφορητικός,0
1266,α02630,ἀδικαίαρχος,a,aps---cn2-,ἀδικαίαρχος ἀδικαίαρχος ἀδικαίαρχον,ἀδικαίαρχος,0
1279,α02643,ἀδικοδοξέω,v,----------,,ἀδικοδοξέω,0
2592,α00863,αἰτιατικός,a,aps---mn1-,αἰτιατικός αἰτιατική αἰτιατικόν,αἰτιατικός,0
695,α02060,ἀγόρασις,n,n-s---fn3v,ἀγορασέως,ἀγόρασις,0
1378,α02738,ἁδρογραφία,n,n-s---fn1l,ἁδρογραφίας,ἁδρογραφία,0
1379,α02739,ἁδροκέφαλος,a,aps---cn2-,ἁδροκέφαλος ἁδροκέφαλος ἁδροκέφαλον,ἁδροκέφαλος,0
1403,α02762,ἀδύναμος,a,aps---cn2-,ἀδύναμος ἀδύναμος ἀδύναμον,ἀδύναμος,0
1427,α02774,ἀδώρητος,a,aps---cn2-,ἀδώρητος ἀδώρητος ἀδώρητον,ἀδώρητος,0
1432,α02779,ἀδωρόληπτος,a,aps---cn2-,ἀδωρόληπτος ἀδωρόληπτος ἀδωρόληπτον,ἀδωρόληπτος,0
1447,α02795,ἀεθλοφόρος,a,aps---cn2-,ἀεθλοφόρος ἀεθλοφόρος ἀεθλοφόρον,ἀεθλοφόρος,0
1474,α02823,ἀείζωος,a,aps---cn2-,ἀείζωος ἀείζωος ἀείζωον,ἀείζωος,0
1481,α02829,ἀείθουρος,a,aps---cn2-,ἀείθουρος ἀείθουρος ἀείθουρον,ἀείθουρος,0
1529,α02876,ἀείφρουρος,a,aps---cn2-,ἀείφρουρος ἀείφρουρος ἀείφρουρον,ἀείφρουρος,0
1540,α02888,ἀεκούσιος,a,aps---cn2-,ἀεκούσιος ἀεκούσιος ἀεκούσιον,ἀεκούσιος,0
1580,,Ἀερία,n,n-s---fn1l,Ἀερας,Ἀερία,0
1591,α02941,ἀεροβατικός,a,aps---mn1-,ἀεροβατικός ἀεροβατική ἀεροβατικόν,ἀεροβατικός,0
1611,α02961,ἀερονομικός,a,aps---mn1-,ἀερονομικός ἀερονομική ἀερονομικόν,ἀερονομικός,0
1630,α02980,ἀερσίλοφος,a,aps---cn2-,ἀερσίλοφος ἀερσίλοφος ἀερσίλοφον,ἀερσίλοφος,0
1632,α02982,ἀερσίνοος,a,aps---cn2-,ἀερσίνοος ἀερσίνοος ἀερσίνοον,ἀερσίνοος,0
1682,α03028,ἀζητητος,a,aps---cn2-,ἀζητητος ἀζητητος ἀζητητον,ἀζητητος,0
1690,α03036,ἄζυμος,a,aps---cn2-,ἄζυμος ἄζυμος ἄζυμον,ἄζυμος,0
1709,α03055,ἀηδόνιος,a,aps---cn2-,ἀηδόνιος ἀηδόνιος ἀηδόνιον,ἀηδόνιος,0
1732,α03077,ἄητος,a,aps---cn2-,ἄητος ἄητος ἄητον,ἄητος,0
1738,α03085,ἀθαλάσσωτος,a,aps---cn2-,ἀθαλάσσωτος ἀθαλάσσωτος ἀθαλάσσωτον,ἀθαλάσσωτος,0
1749,α03095,ἀθάνατος,a,aps---cn2-,ἀθάνατος ἀθάνατος ἀθάνατον,ἀθάνατος,0
1784,α03130,ἀθεμιτοποιός,a,aps---cn2-,ἀθεμιτοποιός ἀθεμιτοποιός ἀθεμιτοποιόν,ἀθεμιτοποιός,0
1787,α03133,ἀθεμιτοφάγος,a,aps---cn2-,ἀθεμιτοφάγος ἀθεμιτοφάγος ἀθεμιτοφάγον,ἀθεμιτοφάγος,0
1793,α03140,ἀθεράπευτος,a,aps---cn2-,ἀθεράπευτος ἀθεράπευτος ἀθεράπευτον,ἀθεράπευτος,0
1827,α03176,ἀθήλυντος,a,aps---cn2-,ἀθήλυντος ἀθήλυντος ἀθήλυντον,ἀθήλυντος,0
1840,α03179,ἀθήρα,n,n-s---fn1l,ἀθήρας,ἀθήρα,0
1841,α03180,ἀθήρατος,a,aps---cn2-,ἀθήρατος ἀθήρατος ἀθήρατον,ἀθήρατος,0
1863,α03202,ἀθλητικός,a,aps---mn1-,ἀθλητικός ἀθλητική ἀθλητικόν,ἀθλητικός,0
1888,α03229,ἀθράνευτος,a,aps---cn2-,ἀθράνευτος ἀθράνευτος ἀθράνευτον,ἀθράνευτος,0
1889,α03230,ἀθράσυντος,a,aps---cn2-,ἀθράσυντος ἀθράσυντος ἀθράσυντον,ἀθράσυντος,0
1897,α03238,ἀθρίγγωτος,a,aps---cn2-,ἀθρίγγωτος ἀθρίγγωτος ἀθρίγγωτον,ἀθρίγγωτος,0
1327,α02689,ἀδόκιμος,a,aps---cn2-,ἀδόκιμος ἀδόκιμος ἀδόκιμον,ἀδόκιμος,0
5341,α05974,ἀμφιδεί̈διον,n,n-s---nn2-,ἀμφιδεϊδίου,ἀμφιδεί̈διον,0
1366,α02729,ἄδραστος,a,aps---cn2-,ἄδραστος ἄδραστος ἄδραστον,ἄδραστος,0
1969,α00042,αἰγειροφόρος,a,aps---cn2-,αἰγειροφόρος αἰγειροφόρος αἰγειροφόρον,αἰγειροφόρος,0
1995,α00073,αἰγικός,a,aps---mn1-,αἰγικός αἰγική αἰγικόν,αἰγικός,0
1999,α00077,αἰγιλωπικός,a,aps---mn1-,αἰγιλωπικός αἰγιλωπική αἰγιλωπικόν,αἰγιλωπικός,0
2021,α00095,αἰγλήεις,a,aps---mn4i,αἰγλήεις αἰγλήεσσα αἰγλήεν,αἰγλήεις,0
2042,α00118,αἰγόπλαστος,a,aps---cn2-,αἰγόπλαστος αἰγόπλαστος αἰγόπλαστον,αἰγόπλαστος,0
2048,α00126,αἰγοφάγος,a,aps---cn2-,αἰγοφάγος αἰγοφάγος αἰγοφάγον,αἰγοφάγος,0
2054,,Αἰγυπτιακός,a,aps---mn1-,Αἰγυπτιακός Αἰγυπτιακή Αἰγυπτιακόν,Αἰγυπτιακός,0
2099,α03287,ἀϊδροδίκης,n,----------,,ἀϊδροδίκης,0
2100,α03288,ἀί̈δρυτος,a,aps---cn2-,ἀί̈δρυτος ἀί̈δρυτος ἀί̈δρυτον,ἀί̈δρυτος,0
2123,α00197,αἰθαλέος,a,aps---mn1-,αἰθαλέος αἰθαλέα αἰθαλέον,αἰθαλέος,0
2150,α00233,αἰθερώδης,a,aps---cn3s,αἰθερώδης αἰθερώδης αἰθερώ͂δες,αἰθερώδης,0
2155,α00245,αἴθινος,a,aps---mn1-,αἴθινος αἰθίνη αἴθινον,αἴθινος,0
2173,α00268,αἰθρινός,a,aps---mn1-,αἰθρινός αἰθρινή αἰθρινόν,αἰθρινός,0
2202,α00302,αἴκισμα,n,n-s---nn3t,αἰκίσματος,αἴκισμα,0
2205,α00305,αἰκίστρια,n,n-s---fn1s,αἰκίστριας,αἰκίστρια,0
2223,α00398,αἱμακτικός,a,aps---mn1-,αἱμακτικός αἱμακτική αἱμακτικόν,αἱμακτικός,0
2255,α00430,αἱματοποσία,n,n-s---fn1l,αἱματοποσίας,αἱματοποσία,0
2283,α00458,αἱμοειδής,a,aps---cn5s,αἱμοειδής αἱμοειδής αἱμοειδές,αἱμοειδής,0
2301,α00476,αἱμόρροος,a,aps---cn2-,αἱμόρροος αἱμόρροος αἱμόρροον,αἱμόρροος,0
2309,α00484,αἱμοσταγής,a,aps---cn5s,αἱμοσταγής αἱμοσταγής αἱμοσταγές,αἱμοσταγής,0
2337,α00513,αἰνετήριος,a,aps---mn1-,αἰνετήριος αἰνετήρια αἰνετήριον,αἰνετήριος,0
2349,α00527,αἰνιγματοποιός,a,aps---cn2-,αἰνιγματοποιός αἰνιγματοποιός αἰνιγματοποιόν,αἰνιγματοποιός,0
2359,α00537,αἰνοβάκχευτος,a,aps---cn2-,αἰνοβάκχευτος αἰνοβάκχευτος αἰνοβάκχευτον,αἰνοβάκχευτος,0
2384,α00562,αἰνοπέλωρος,a,aps---cn2-,αἰνοπέλωρος αἰνοπέλωρος αἰνοπέλωρον,αἰνοπέλωρος,0
2402,α03297,ἄϊξ,n,----------,,ἄϊξ,0
2406,,Αἰολεύς,n,n-s---mn3v,Αἰολέως,Αἰολεύς,0
2418,α00624,αἰολόδειρος,a,aps---cn2-,αἰολόδειρος αἰολόδειρος αἰολόδειρον,αἰολόδειρος,0
2453,α00664,αἰπύδμητος,a,aps---cn2-,αἰπύδμητος αἰπύδμητος αἰπύδμητον,αἰπύδμητος,0
2458,α00669,αἰπύνωτος,a,aps---cn2-,αἰπύνωτος αἰπύνωτος αἰπύνωτον,αἰπύνωτος,0
2487,α00709,αἰσθάνομαι,v,----------,,αἰσθάνομαι,0
2504,α00725,αἴσιος,a,aps---cn2-,αἴσιος αἴσιος αἴσιον,αἴσιος,0
32384,ε06325,ἐμπειρία,n,n-s---fn1l,ἐμπειρίας,ἐμπειρία,0
1945,α00016,αἴαγμα,n,----------,,αἴαγμα,0
5351,α05983,ἀμφίδετος,a,aps---cn2-,ἀμφίδετος ἀμφίδετος ἀμφίδετον,ἀμφίδετος,0
1957,α00030,αἴγαγρος,n,n-s---cn2-,αἰγάγρου,αἴγαγρος,0
2604,,Αἰτναῖος,a,aps---mn1-,Αἰτναῖος Αἰτναῖα Αἰτναῖον,Αἰτναῖος,0
2616,α01344,αἰχμαλωτικός,a,aps---mn1-,αἰχμαλωτικός αἰχμαλωτική αἰχμαλωτικόν,αἰχμαλωτικός,0
5361,α05993,ἀμφιδιόρθωσις,n,n-s---fn3v,ἀμφιδιορθωσέως,ἀμφιδιόρθωσις,0
2647,α01390,αἰωρητός,a,aps---cn2-,αἰωρητός αἰωρητός αἰωρητόν,αἰωρητός,0
2655,α03322,ἀκάθεκτος,a,aps---cn2-,ἀκάθεκτος ἀκάθεκτος ἀκάθεκτον,ἀκάθεκτος,0
2657,α03324,ἀκαθοσίωτος,a,aps---cn2-,ἀκαθοσίωτος ἀκαθοσίωτος ἀκαθοσίωτον,ἀκαθοσίωτος,0
2690,α03357,ἀκαλάρροος,a,aps---cn2-,ἀκαλάρροος ἀκαλάρροος ἀκαλάρροον,ἀκαλάρροος,0
2702,α03369,ἀκαμαντοχάρμας,n,n-s---mn1a,ἀκαμαντοχάρμου,ἀκαμαντοχάρμας,0
2735,α03402,ἀκανθοστεφής,a,aps---cn5s,ἀκανθοστεφής ἀκανθοστεφής ἀκανθοστεφές,ἀκανθοστεφής,0
2751,α03418,ἀκάπηλος,a,aps---cn2-,ἀκάπηλος ἀκάπηλος ἀκάπηλον,ἀκάπηλος,0
2760,α03427,ἀκαριαῖος,a,aps---mn1-,ἀκαριαῖος ἀκαριαῖα ἀκαριαῖον,ἀκαριαῖος,0
2782,α03449,ἀκαταδίκαστος,a,aps---cn2-,ἀκαταδίκαστος ἀκαταδίκαστος ἀκαταδίκαστον,ἀκαταδίκαστος,0
2795,α03462,ἀκατάληπτος,a,aps---cn2-,ἀκατάληπτος ἀκατάληπτος ἀκατάληπτον,ἀκατάληπτος,0
2833,α03499,ἀκαταστέριστος,a,aps---cn2-,ἀκαταστέριστος ἀκαταστέριστος ἀκαταστέριστον,ἀκαταστέριστος,0
2840,α03506,ἀκατάτακτος,a,aps---cn2-,ἀκατάτακτος ἀκατάτακτος ἀκατάτακτον,ἀκατάτακτος,0
2868,α03534,ἀκαυτηρίαστος,a,aps---cn2-,ἀκαυτηρίαστος ἀκαυτηρίαστος ἀκαυτηρίαστον,ἀκαυτηρίαστος,0
2878,α03544,ἀκέλευθος,a,aps---cn2-,ἀκέλευθος ἀκέλευθος ἀκέλευθον,ἀκέλευθος,0
2881,α03547,ἀκενόδοξος,a,aps---cn2-,ἀκενόδοξος ἀκενόδοξος ἀκενόδοξον,ἀκενόδοξος,0
2910,α03576,ἀκέσιμος,a,aps---cn2-,ἀκέσιμος ἀκέσιμος ἀκέσιμον,ἀκέσιμος,0
2926,α03592,ἀκεστός,a,aps---mn1-,ἀκεστός ἀκεστή ἀκεστόν,ἀκεστός,0
2956,α03622,ἀκηράσιος,a,aps---cn2-,ἀκηράσιος ἀκηράσιος ἀκηράσιον,ἀκηράσιος,0
2978,α03644,ἀκίνδυνος,a,aps---cn2-,ἀκίνδυνος ἀκίνδυνος ἀκίνδυνον,ἀκίνδυνος,0
2980,α03646,ἀκινδυνώδης,a,aps---cn3s,ἀκινδυνώδης ἀκινδυνώδης ἀκινδυνώ͂δες,ἀκινδυνώδης,0
2987,α03653,ἀκίνητος,a,aps---cn2-,ἀκίνητος ἀκίνητος ἀκίνητον,ἀκίνητος,0
3026,α03691,ἀκλόνητος,a,aps---cn2-,ἀκλόνητος ἀκλόνητος ἀκλόνητον,ἀκλόνητος,0
3031,α03697,ἄκλυστος,a,aps---cn2-,ἄκλυστος ἄκλυστος ἄκλυστον,ἄκλυστος,0
3034,α03700,ἄκλωστος,a,aps---cn2-,ἄκλωστος ἄκλωστος ἄκλωστον,ἄκλωστος,0
3056,α03722,ἄκνισος,a,aps---cn2-,ἄκνισος ἄκνισος ἄκνισον,ἄκνισος,0
3082,α03749,ἀκόλλητος,a,aps---cn2-,ἀκόλλητος ἀκόλλητος ἀκόλλητον,ἀκόλλητος,0
3090,α03757,ἀκολουθητικός,a,aps---mn1-,ἀκολουθητικός ἀκολουθητική ἀκολουθητικόν,ἀκολουθητικός,0
2554,α00779,αἰσχροσεμνία,n,n-s---fn1l,αἰσχροσεμνίας,αἰσχροσεμνία,0
5374,α06006,ἀμφίδρυπτος,a,aps---cn2-,ἀμφίδρυπτος ἀμφίδρυπτος ἀμφίδρυπτον,ἀμφίδρυπτος,0
16659,α00895,αὐτοαριθμός,n,----------,,αὐτοαριθμός,0
3182,α03849,ἀκουσματικός,a,aps---mn1-,ἀκουσματικός ἀκουσματική ἀκουσματικόν,ἀκουσματικός,0
3183,α03850,ἀκουσμάτιον,n,n-s---nn2-,ἀκουσματίου,ἀκουσμάτιον,0
3194,α03861,ἀκράδαντος,a,aps---cn2-,ἀκράδαντος ἀκράδαντος ἀκράδαντον,ἀκράδαντος,0
3226,α03893,ἀκρατόστομος,a,aps---cn2-,ἀκρατόστομος ἀκρατόστομος ἀκρατόστομον,ἀκρατόστομος,0
3234,α03901,ἄκρεα,n,n-s---fn1s,ἄκρεας,ἄκρεα,0
3255,α03922,ἀκριβοδίκαιος,a,aps---cn2-,ἀκριβοδίκαιος ἀκριβοδίκαιος ἀκριβοδίκαιον,ἀκριβοδίκαιος,0
3302,α03969,ἀκροβατικός,a,aps---mn1-,ἀκροβατικός ἀκροβατική ἀκροβατικόν,ἀκροβατικός,0
3317,α03984,ἀκροβολιστικός,a,aps---mn1-,ἀκροβολιστικός ἀκροβολιστική ἀκροβολιστικόν,ἀκροβολιστικός,0
3331,α03998,ἀκρόζυμος,a,aps---cn2-,ἀκρόζυμος ἀκρόζυμος ἀκρόζυμον,ἀκρόζυμος,0
3352,α04019,ἀκρόλιθος,a,aps---cn2-,ἀκρόλιθος ἀκρόλιθος ἀκρόλιθον,ἀκρόλιθος,0
3366,α04033,ἀκρομόλυβδος,a,aps---cn2-,ἀκρομόλυβδος ἀκρομόλυβδος ἀκρομόλυβδον,ἀκρομόλυβδος,0
3380,α04047,ἀκροπαγής,a,aps---cn5s,ἀκροπαγής ἀκροπαγής ἀκροπαγές,ἀκροπαγής,0
3394,α04061,ἀκροπόρφυρος,a,aps---cn2-,ἀκροπόρφυρος ἀκροπόρφυρος ἀκροπόρφυρον,ἀκροπόρφυρος,0
3427,α04094,ἀκρότομος,a,aps---cn2-,ἀκρότομος ἀκρότομος ἀκρότομον,ἀκρότομος,0
3435,α04102,ἀκροφανής,a,aps---cn5s,ἀκροφανής ἀκροφανής ἀκροφανές,ἀκροφανής,0
3456,α04123,ἀκρύσταλλος,a,aps---cn2-,ἀκρύσταλλος ἀκρύσταλλος ἀκρύσταλλον,ἀκρύσταλλος,0
3478,α04146,ἀκτέανος,a,aps---cn2-,ἀκτέανος ἀκτέανος ἀκτέανον,ἀκτέανος,0
3490,α04157,ἀκτήμων,a,aps---cn3n,ἀκτήμων ἀκτήμων ἀκτήμον,ἀκτήμων,0
3529,α04196,ἀκύμων,n,----------,,ἀκύμων,0
3530,α04197,ἀκύμων,a,aps---cn3n,ἀκύμων ἀκύμων ἀκύμον,ἀκύμων,0
3546,α04213,ἀκωδώνιστος,a,aps---cn2-,ἀκωδώνιστος ἀκωδώνιστος ἀκωδώνιστον,ἀκωδώνιστος,0
3581,α04249,ἀλαζοσύνη,n,n-s---fn1e,ἀλαζοσύνης,ἀλαζοσύνη,0
3582,α04250,ἀλαζών,n,n-s---mn3n,ἀλαζόνος,ἀλαζών,0
3602,,Ἀλαλκομενεύς,n,n-s---mn3v,Ἀλαλκομενέως,Ἀλαλκομενεύς,0
3620,α04287,ἀλάστορος,a,aps---cn2-,ἀλάστορος ἀλάστορος ἀλάστορον,ἀλάστορος,0
3637,α04304,ἀλγέω,v,----------,,ἀλγέω,0
3640,α04307,ἀλγηρός,a,aps---mn1-,ἀλγηρός ἀλγηρά ἀλγηρόν,ἀλγηρός,0
3661,α04328,ἀλεαντικός,a,aps---mn1-,ἀλεαντικός ἀλεαντική ἀλεαντικόν,ἀλεαντικός,0
3694,α04361,ἀλειτούργητος,a,aps---cn2-,ἀλειτούργητος ἀλειτούργητος ἀλειτούργητον,ἀλειτούργητος,0
3714,α04381,ἀλεκτρυόνειος,a,aps---cn2-,ἀλεκτρυόνειος ἀλεκτρυόνειος ἀλεκτρυόνειον,ἀλεκτρυόνειος,0
32385,ε06326,ἐμπειρικός,a,aps---mn1-,ἐμπειρικός ἐμπειρική ἐμπειρικόν,ἐμπειρικός,0
3133,α03800,ἀκοντοβόλος,a,aps---cn2-,ἀκοντοβόλος ἀκοντοβόλος ἀκοντοβόλον,ἀκοντοβόλος,0
5394,α06026,ἀμφίετες,r,----------,,ἀμφίετες,0
57431,κ08174,κτένιον,n,n-s---nn2-,κτενίου,κτένιον,0
3795,α04460,ἄλη,n,n-s---fn1e,ἄλης,ἄλη,0
5354,α05986,ἀμφιδήμα,n,n-s---fn1l,ἀμφιδήμας,ἀμφιδήμα,0
3797,α04462,ἁληγός,a,aps---cn2-,ἁληγός ἁληγός ἁληγόν,ἁληγός,0
3847,α03079,ἀήτωρ,n,n-s---mn3r,ἀήτορος,ἀήτωρ,0
3853,α04515,ἀλθήεις,a,aps---mn4i,ἀλθήεις ἀλθήεσσα ἀλθήεν,ἀλθήεις,0
3872,α04533,ἀλίαστος,a,aps---cn2-,ἀλίαστος ἀλίαστος ἀλίαστον,ἀλίαστος,0
3899,α04559,ἁλιερκής,a,aps---cn5s,ἁλιερκής ἁλιερκής ἁλιερκές,ἁλιερκής,0
3903,α04563,ἁλιευτικός,a,aps---mn1-,ἁλιευτικός ἁλιευτική ἁλιευτικόν,ἁλιευτικός,0
3936,α04596,ἅλιμος,a,aps---cn2-,ἅλιμος ἅλιμος ἅλιμον,ἅλιμος,0
3951,α04609,ἅλιος,a,aps---mn1-,ἅλιος ἅλια ἅλιον,ἅλιος,0
3966,α04624,ἁλίπληκτος,a,aps---cn2-,ἁλίπληκτος ἁλίπληκτος ἁλίπληκτον,ἁλίπληκτος,0
3998,α04656,ἁλίστρεπτος,a,aps---cn2-,ἁλίστρεπτος ἁλίστρεπτος ἁλίστρεπτον,ἁλίστρεπτος,0
4005,α04663,ἀλιτήμερος,a,aps---cn2-,ἀλιτήμερος ἀλιτήμερος ἀλιτήμερον,ἀλιτήμερος,0
4031,α00359,αἱλιφθόρος,a,aps---cn2-,αἱλιφθόρος αἱλιφθόρος αἱλιφθόρον,αἱλιφθόρος,0
4049,α04700,ἀλκιβιάδες,n,n-p---fn1l,ἀλκιβιαδῶν,ἀλκιβιάδες,0
4051,α04702,ἀλκίμαχος,a,aps---mn1-,ἀλκίμαχος ἀλκιμάχη ἀλκίμαχον,ἀλκίμαχος,0
