άλλου,περίαλλος,0
77391,π04505,περιαμάομαι,v,----------,,περιαμάομαι,0
77392,π04506,περιαμαρτίζω,v,----------,,περιαμαρτίζω,0
77393,π04507,περιαμαρτισμός,n,----------,,περιαμαρτισμός,0
77394,π04508,περίαμμα,n,n-s---nn3t,περιάμματος,περίαμμα,0
77395,π04509,περιάμπαξ,r,----------,,περιάμπαξ,0
77396,π04510,περιαμπέτιξ,n,----------,,περιαμπέτιξ,0
77397,π04511,περιαμπέχω,v,----------,,περιαμπέχω,0
77398,π04512,περιαμύνω,v,----------,,περιαμύνω,0
77399,π04513,περιαμύσσω,v,----------,,περιαμύσσω,0
77402,π04516,περιάμφοδος,a,aps---cn2-,περιάμφοδος περιάμφοδος περιάμφοδον,περιάμφοδος,0
77403,π04517,περιαναγκάζω,v,----------,,περιαναγκάζω,0
77404,π04518,περιαναιρέω,v,----------,,περιαναιρέω,0
77405,π04519,περιανθέω,v,----------,,περιανθέω,0
77406,π04520,περιανθής,a,aps---cn5s,περιανθής περιανθής περιανθές,περιανθής,0
77407,π04521,περιανίστημι,v,----------,,περιανίστημι,0
77408,π04522,περιανοίγω,v,----------,,περιανοίγω,0
77410,π04524,περιαντλητέον,a,----------,,περιαντλητέον,0
77411,π04525,περιαπλόω,v,----------,,περιαπλόω,0
77412,π04526,περιαποστέλλω,v,----------,,περιαποστέλλω,0
77413,π04527,περιαπτέον,v,----------,,περιαπτέον,0
77415,π04529,περιάπτω,v,----------,,περιάπτω,0
77418,π04532,περιαργυρόω,v,----------,,περιαργυρόω,0
77419,π04533,περιαρμόζω,v,----------,,περιαρμόζω,0
77420,π04534,περιάροσις,n,----------,,περιάροσις,0
77421,π04535,περιαρόω,v,----------,,περιαρόω,0
77422,π04536,περίαρσις,n,n-s---fn3v,περιαρσέως,περίαρσις,0
77423,π04537,περιαρτάω,v,----------,,περιαρτάω,0
77426,π04539,περιασπάζομαι,v,----------,,περιασπάζομαι,0
77427,π04540,περιαστράπτω,v,----------,,περιαστράπτω,0
77429,π04542,περιατμισμός,n,----------,,περιατμισμός,0
77430,π04543,περιαυγάζω,v,----------,,περιαυγάζω,0
77432,π04545,περιαυγασμός,n,----------,,περιαυγασμός,0
77433,π04546,περιαύγεια,n,n-s---fn1s,περιαύγειας,περιαύγεια,0
77434,π04547,περιαυγέομαι,v,----------,,περιαυγέομαι,0
77435,π04548,περιαυγή,n,n-s---fn1e,περιαυγῆς,περιαυγή,0
77438,π04551,περιαυθαδίζομαι,v,----------,,περιαυθαδίζομαι,0
77439,π04552,περιαύλισμα,n,n-s---nn3t,περιαυλίσματος,περιαύλισμα,0
77440,π04553,περίαυλον,n,n-s---nn2-,περιαύλου,περίαυλον,0
77441,π04554,περιαυτίζομαι,v,----------,,περιαυτίζομαι,0
77442,π04555,περιαυτολογέω,v,----------,,περιαυτολογέω,0
77445,π04558,περιαυχένιος,a,aps---cn2-,περιαυχένιος περιαυχένιος περιαυχένιον,περιαυχένιος,0
77446,π04559,περίαχε,n,----------,,περίαχε,0
